Variable 1;Variable 2;Pearson_corr;Pearson_pvalue;Spearman_corr;Spearman_pvalue;Kendall_corr;Kendall_pvalue
Voltage (V);Current (A);-0.0021497686666819573;0.6307905048166819;-0.002535727963174074;0.5707807548975685;-0.001674111131203303;0.5745218587640264
Current (A);Power Consumption (kW);0.9987146506888146;0.0;0.9987615059167136;0.0;0.9705980907388153;0.0
Voltage (V);Power Consumption (kW);0.043630614226169914;1.6890502399360593e-22;0.04132256145576845;2.413821276801281e-20;0.02772779812998135;1.4261179164297488e-20
Power Factor;Reactive Power (kVAR);-0.0050133205525775895;0.2623678138547006;-0.0041004153372982185;0.359292025945805;-0.00273339094062788;0.35933739730075687
Power Consumption (kW);Temperature (°C);-0.004585946013786472;0.3052384638029842;-0.004484831902922763;0.316025708058293;-0.0029910281531572206;0.3158484636067921
Power Consumption (kW);Humidity (%);0.0006046442890277376;0.8924714802061358;0.0006193521592758781;0.8898723418883401;0.00041114971407820274;0.8903376970241199
Power Consumption (kW);Wind Power (kW);-0.0005852258155935926;0.8959048300032986;-0.0005936570674221138;0.8944138702663973;-0.00040954865755509244;0.8907620491277748
Power Consumption (kW);Hour;0.009575424080449283;0.03229155418026273;0.009642781639629172;0.03109594941319259;0.006548282579405045;0.03142978911630081
